,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
381,Grade 1 Gas Leak,,06,EMER-1323863,Days & Weekends,National Grid,,,,1683,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,National Grid,,EMERGENCY,2023-01-21 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,CENTRE ST,382
382,Service Repair (Leak on Service),,06,EMER-1424079,Days & Weekends,Metro Equipment Corp,,,,21,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,BERTSON AV,383
383,INSTALLATION OF NEW MAIN,,06,EXCA-1349648,Days & Weekends,Feeney Brothers Excavation,2005,,,58,209,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,DURNELL AV,384
384,Service Repair (Leak on Service),,06,EMER-1424055,Days & Weekends,Boston Water & Sewer Commi,,,,38,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,PARAGON RD,385
385,Sewer Repair (Broken Sewer),,06,EMER-1411788,Days & Weekends,Boston Water & Sewer Commi,,,,688,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-27 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-15 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,CANTERBURY ST,386
386,Hydrant Repair (Inoperable Hydrant),,06,EMER-1411777,Days & Weekends,Metro Equipment Corp,,,,23,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-27 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-15 00:00:00,1,617-989-7000,WEST ROXBURY/ROSLINDALE,ANAWAN AV,387
387,Grade 1 Gas Leak,,06,EMER-1323241,Days & Weekends,National Grid,,,,50,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-29 00:00:00,,National Grid,,EMERGENCY,2023-01-15 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,GRAYFIELD AV,388
388,Grade 1 Gas Leak,,06,EMER-1323240,Days & Weekends,National Grid,,,,29,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-29 00:00:00,,National Grid,,EMERGENCY,2023-01-15 00:00:00,1,1-877-304 12,WEST ROXBURY/ROSLINDALE,CHARME AV,389
389,Water Main Repair (Leak on Main),,06,EMER-1424042,Days & Weekends,Boston Water & Sewer Commi,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-05 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-05 00:00:00,1,1-617-989 70,WEST ROXBURY/ROSLINDALE,VOGEL ST,390
390,INSTALLATION OF GAS MAIN,,06,EXCA-1398769,Days & Weekends,Feeney Brothers Excavation,550,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,COREY ST,National Grid,,NEW CONDUIT AND/OR MAIN,2023-02-03 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,MIDVALE ST,391
391,GAS LEAK REPAIR,,06,EXCA-1415974,Days & Weekends,National Grid,,,,108,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-21 00:00:00,,National Grid,,MAINTENANCE,2023-01-15 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,NEPONSET AV,392
392,INSTALLATION OF GAS MAIN,,06,EXCA-1321847,Days & Weekends,Feeney Brothers Excavation,785,,,7,55,ONGOING SECTIONS TOPPED TO GRADE,2022-12-21 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,CHARME AV,393
393,INSTALLATION OF GAS MAIN,,06,EXCA-1321853,Days & Weekends,Feeney Brothers Excavation,2165,,,7,124,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,WEST ROXBURY/ROSLINDALE,NEPONSET AV,394
394,INSTALLATION OF GAS MAIN,,05,EXCA-1344845,Days & Weekends,Feeney Brothers Excavation,1500,,,370,420,IDLE,2023-03-17 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-17 00:00:00,1,877-304-1203,SOUTH BOSTON,E ST,395
395,INSTALLATION OF SEWER AND WATER MAIN,,05,EXCA-1393986,Days & Weekends,Fed Corp,1070,,,4,112,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,Boston Water & Sewer Commission,,NEW CONDUIT AND/OR MAIN,2023-01-21 00:00:00,1,617-989-7000,SOUTH BOSTON,WEST SEVENTH ST,396
396,Emergency - Service Reroute,,05,EMER-0000000,Days & Weekends,Mirra Company Co.,,,,157,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-04 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-04 00:00:00,1,1-800-592 20,SOUTH BOSTON,H ST,397
397,Emergency - Cable Replacement,,05,EMER-1397110,Days & Weekends,P V Barone,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-04 00:00:00,WEST FOURTH ST,Comcast,,EMERGENCY,2023-01-04 00:00:00,1,1-857-919 93,SOUTH BOSTON,A ST,398
398,Dig in Doubt (Leak on Service),,05,EMER-1424040,Days & Weekends,Boston Water & Sewer Commi,,,,12,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-05 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-05 00:00:00,1,1-617-989 70,SOUTH BOSTON,BECKLER AV,399
399,Emergency - Cable Replacement,,05,EMER-000000,Days & Weekends,Mirra Company Co.,,,,407,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-04 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-04 00:00:00,1,1-800-592 20,SOUTH BOSTON,EAST SEVENTH ST,400
400,Water Main Repair (Leak on Main),,05,EMER-0000,Days & Weekends,Keash Excavating Inc,,,,348,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-04 00:00:00,,Keash Excavating Inc,,EMERGENCY,2023-01-04 00:00:00,1,1-857-231 11,SOUTH BOSTON,EAST EIGHTH ST,401
401,Water Main Repair (Leak on Main),,05,EMER-1411789,Days & Weekends,Boston Water & Sewer Commi,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-27 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,617-989-7000,SOUTH BOSTON,ATLANTIC ST,402
402,,,05,,Days & Weekends,Mirra Co,,,,411,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-28 00:00:00,,Eversource Electric,,SERVICE,2023-01-15 00:00:00,1,800-592-2000,SOUTH BOSTON,EAST THIRD ST,403
403,Grade 1 Gas Leak,,05,EMER-1323832,Days & Weekends,National Grid,,,,480,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,SOUTH BOSTON,DORCHESTER AV,404
404,Emergency - Manhole Structural Repair,,05,EMER-1424053,Days & Weekends,Metro Equipment,,,,606,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,SOUTH BOSTON,EAST FIFTH ST,405
405,Casting Repair - Public Safety Concern,,05,EMER-1424052,Days & Weekends,Metro Equipment Co,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,WEST NINTH ST,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,1-617-989 70,SOUTH BOSTON,DORCHESTER ST,406
406,Grade 1 Gas Leak,,05,EMER-1323277,Days & Weekends,National Grid,,,,11,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,877-304-1203,SOUTH BOSTON,DORCHESTER ST,407
407,Sewer Repair (Broken Sewer),,05,EMER-00000,Days & Weekends,Keash Excavating Inc,,,,146,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Keash Excavating Inc,,EMERGENCY,2023-01-13 00:00:00,1,1-857-231 11,SOUTH BOSTON,DORCHESTER ST,408
408,Water Main Repair (Leak on Main),,05,EMER-1424049,Days & Weekends,Mario Susi & Sons,,,,51,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-10 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-10 00:00:00,1,617-989-7000,SOUTH BOSTON,SEAPORT BLVD,409
409,Water Main Repair (Leak on Main),,05,EMER-1424060,Days & Weekends,Boston Water & Sewer Commi,,,,474,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-12 00:00:00,1,617-989-7000,SOUTH BOSTON,DORCHESTER AV,410
410,Emergency - Cable Repair,,05,EMER-1397113,Days & Weekends,Mirra Company Co.,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,Comcast,,EMERGENCY,2023-01-12 00:00:00,1,857-919-9935,SOUTH BOSTON,EMERSON ST,411
411,Grade 1 Gas Leak,,05,EMER-1323860,Days & Weekends,National Grid,,,,80,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,National Grid,,EMERGENCY,2023-01-21 00:00:00,1,877-304-1203,SOUTH BOSTON,A ST,412
412,GRADE 1 GAS LAEAK,,05,EMER-1323832,Days & Weekends,National Grid,,,,480,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-20 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH BOSTON,DORCHESTER AV,413
413,Emergency - Service Reroute,,05,EMER-1160672,Days & Weekends,Riley Brothers,,,,776,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-19 00:00:00,1,800-592-2000,SOUTH BOSTON,EAST SIXTH ST,414
414,,,05,EXCA-1419991,Days & Weekends,National Grid,,,,313,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,SOUTH BOSTON,OLD COLONY AV,415
415,GAS LEAK REPAIR,,05,EXCA-1422483,Days & Weekends,National Grid,,,,247,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,WEST BROADWAY,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,SOUTH BOSTON,D ST,416
416,Cable Failure,,05,EMER-1160667,Days & Weekends,Riley Brothers,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,EAST BROADWAY,Eversource Electric,,EMERGENCY,2023-02-08 00:00:00,1,800-592-2000,SOUTH BOSTON,K ST,417
417,Grade 1 Gas Leak / EMER-1323848,,05,EMER-1323853,Days & Weekends,National Grid,,,,28,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,877-304-1203,SOUTH BOSTON,DAMRELL ST,418
418,Grade 1 Gas Leak,,05,EMER-1323848,Days & Weekends,National Grid,,,,28,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-17 00:00:00,,National Grid,,EMERGENCY,2023-01-17 00:00:00,1,877-304-1203,SOUTH BOSTON,DAMRELL ST,419
419,Sewer Repair (Broken Sewer),,05,EMER-00000,Days & Weekends,Hercules C & G Drain,,,,158,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,Hercules C & G Drain,,EMERGENCY,2023-01-19 00:00:00,1,781-251 9744,SOUTH BOSTON,O ST,420
420,Emergency - Service Outage,,05,EMER-1370354,Days & Weekends,Phoenix Communications Inc,,,,744,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,Crown Castle,,EMERGENCY,2023-01-26 00:00:00,1,888-632-0931,SOUTH BOSTON,EAST SIXTH ST,421
421,Grade 1 Gas Leak,,05,EMER-1323869,Days & Weekends,National Grid,,,,123,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,National Grid,,EMERGENCY,2023-01-24 00:00:00,1,877-304-1203,SOUTH BOSTON,G ST,422
422,Sewer Repair (Broken Sewer),,05,EMER-1426141,Days & Weekends,C Naughton Corp,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,EAST SIXTH ST,Boston Water & Sewer Commission,,EMERGENCY,2023-01-24 00:00:00,1,617-989-7000,SOUTH BOSTON,O ST,423
423,Grade 1 Gas Leak,,05,EMER-1323878,Days & Weekends,National Grid,,,,522,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,National Grid,,EMERGENCY,2023-01-26 00:00:00,1,877-304-1203,SOUTH BOSTON,EAST SIXTH ST,424
424,Grade 1 Gas Leak,,05,EMER-1333313,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,877-304-1203,SOUTH BOSTON,D ST,425
425,Gate Repair (Inoperable Gate),,05,EMER-1426146,Days & Weekends,Boston Water & Sewer Commi,,,,267,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,SOUTH BOSTON,OLD COLONY AV,426
426,Casting Repair - Public Safety Concern,,05,EMER-1426168,Days & Weekends,GIUGLIANO,,,,256,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-04 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,SOUTH BOSTON,DORCHESTER ST,427
427,Emergency - Service Outage,,05,EMER-0000000,Days & Weekends,Riley Brothers,,,,654,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-05 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-08 00:00:00,1,1-800-592 20,SOUTH BOSTON,EAST BROADWAY,428
428,Grade 1 Gas Leak,,05,EMER-133329,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,SOUTH BOSTON,ELLERY ST,429
429,Emergency - Cable Replacement,,05,EMER-1397151,Days & Weekends,Mirra Company Co.,,,,173,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Comcast,,EMERGENCY,2023-02-08 00:00:00,1,1-617-279 18,SOUTH BOSTON,I ST,430
430,Emergency - Cable Replacement,,05,EMER-1397151,Days & Weekends,Mirra Company Co.,,,,173,,ONGOING SECTIONS TOPPED TO GRADE,,,Comcast,,EMERGENCY,,1,1-617-279 18,SOUTH BOSTON,I St,431
431,,,05,EXCA-1425964,Days & Weekends,Keash Excavating,,,,259,,PLATES PINNED & BERMED,2023-02-14 00:00:00,,Keash Excavating,,SERVICE,2023-02-14 00:00:00,1,857-231-1171,SOUTH BOSTON,DORCHESTER ST,432
432,INSTALLATION OF CONDUIT,,05,EXCA-1436931,Days & Weekends,Eversource Electric,,,,322,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,Eversource Electric,,SERVICE,2023-03-07 00:00:00,1,800-592-2000,SOUTH BOSTON,DORCHESTER ST,433
433,INSTALLATION OF GAS MAIN,,05,EXCA-1223615,Days & Weekends,Feeney Brothers Excavation,,,,87,111,IDLE,2023-03-07 00:00:00,EAST FIFTH ST,National Grid,,MAINTENANCE,2023-03-07 00:00:00,1,877-304-1203,SOUTH BOSTON,L ST,434
434,INSTALLATION OF GAS MAIN,,05,EXCA-1343833,Days & Weekends,Feeney Brothers Excavation,,,,24,146,IDLE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,SOUTH BOSTON,D ST,435
435,Emergency - Cable Repair,,05,EMER-1348826,Days & Weekends,Sheerin Construction,,,,400,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-08 00:00:00,1,800-592-2000,SOUTH BOSTON,DORCHESTER ST,436
436,INSTALLATION OF WATER,,05,EXCA-1430880,Days & Weekends,Kealey Excavation,,,,120,126,PLATES PINNED & BERMED,2023-02-24 00:00:00,,Kealey Excavation,,NEW CONDUIT AND/OR MAIN,2023-01-24 00:00:00,1,,SOUTH BOSTON,EMERSON ST,437
437,,,05,EXCA-1438097,Days & Weekends,C McGue Excavating,,,,31,,,2023-02-20 00:00:00,,C McGue Excavating,,SERVICE,2023-02-20 00:00:00,1,,SOUTH BOSTON,MERCER ST,438
438,,,05,EXCA-1436905,Days & Weekends,Danella Line Co,,,,86,,,2023-02-24 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-24 00:00:00,1,800-446-8945,SOUTH BOSTON,I ST,439
439,Emergency - Cable Replacement,,05,EMER-1358836,Days & Weekends,Mirra Company Co.,,,,141,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-10 00:00:00,1,800-592-2000,SOUTH BOSTON,D ST,440
440,INSTALLATION OF GAS MAIN,KNOWLTON ST,05,EXCA-1221253,Days & Weekends,Feeney Brothers Excavation,,G ST,,229,430,IDLE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,SOUTH BOSTON,EAST EIGHTH ST,441
441,,,04,EXCA-1436910,Days & Weekends,National Grid,,,,57,,,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,STRATHMORE RD,442
442,Leak Repair (Leak on Street),,05,EMER-1436399,Days & Weekends,Boston Water & Sewer Commi,,,,,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,B ST,Boston Water & Sewer Commission,,EMERGENCY,2023-02-17 00:00:00,1,617-989-7000,SOUTH BOSTON,WEST FIRST ST,443
443,,,05,EXCA-1395042,Days & Weekends,Riley Brothers,,,,141,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Eversource Electric,,SERVICE,2023-02-24 00:00:00,1,,SOUTH BOSTON,D St.,444
444,STREET LIGHT CONDUIT,,05,EXCA-1440110,Days & Weekends,Maverick Construction,,,,10,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-02 00:00:00,,Boston Public Works,,MAINTENANCE,2023-03-02 00:00:00,1,857-472-0105,SOUTH BOSTON,DORCHESTER ST,445
445,INSTALLATION OF CONDUIT,,05,EXCA-1441776,Days & Weekends,Riley Brothers ,135,,,394,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-23 00:00:00,,Eversource Electric,,NEW CONDUIT AND/OR MAIN,2023-03-23 00:00:00,1,800-592-2000,SOUTH BOSTON,ATHENS ST,446
446,INSTALLATION OF GAS MAIN,,05,EXCA-1223597,Days & Weekends,Feeney Brothers Excavation,,,,582,673,IDLE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,SOUTH BOSTON,EAST FIFTH ST,447
447,,,05,EXCA-1395042,Days & Weekends,Riley Brothers,,,,141,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Eversource Electric,,SERVICE,2023-02-24 00:00:00,1,800-592-2000,SOUTH BOSTON,D ST,448
448,Trench Repair,,05,EMER-1164615,Days & Weekends,Danella Line Co,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Verizon,,EMERGENCY,,1,,SOUTH BOSTON,K ST,449
449,Emergency - Cable Replacement,,05,EMER-1436135,Days & Weekends,Riley Brothers,,,,604,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,SOUTH BOSTON,EAST BROADWAY,450
450,STRUCTUARAL LINING / SIPHON CHAMBER / CREW TO BE ONSITE DURING STORM 2/27/22,,05,EXCA-1397721,Days & Weekends,R Zoppo,,,3,483,,HARD WORK ZONE,2023-03-30 00:00:00,,Boston Water & Sewer Commission,,MAINTENANCE,2023-03-30 00:00:00,1,617-989-7000,SOUTH BOSTON,SOUTHAMPTON ST,451
451,,,05,EXCA-1443631,Days & Weekends,Mirra Co,,,,40,42,,2023-03-29 00:00:00,,Comcast,,MAINTENANCE,2023-03-29 00:00:00,1,978-758-0239,SOUTH BOSTON,L ST,452
452,,,05,EXCA-1442109,Days & Weekends,C McGue Excavating,,,,142,,,2023-03-08 00:00:00,,C McGue Excavating,,SERVICE,2023-03-08 00:00:00,1,617-778-8775,SOUTH BOSTON,P ST,453
453,,,05,EXCA-1443290,Days & Weekends,National Grid,,,,92,,,2023-03-22 00:00:00,,National Grid,,MAINTENANCE,2023-03-22 00:00:00,1,877-304-1203,SOUTH BOSTON,A ST,454
454,Grade 1 Gas Leak,,05,EMER-1365026,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,SOUTH BOSTON,SCOTT PL,455
455,Emergency - Service Outage,,05,EMER-1436143,Days & Weekends,Riley Brothers and Badger,,,,135,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,800-592-2000,SOUTH BOSTON,B ST,456
456,Emergency - Cable Replacement,,05,EMER-1436133,Days & Weekends,Mirra Company Co./ Riley b,,,,604,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,SOUTH BOSTON,EAST BROADWAY,457
457,Emergency - Manhole Structural Repair,,05,EMER-1429305,Days & Weekends,Phoenix Communications Inc,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Crown Castle,,EMERGENCY,,1,1-888-632 09,SOUTH BOSTON,P ST,458
458,,,04,EXCA-1445330,Days & Weekends,Mirra Co,,,,96,100,,2023-03-24 00:00:00,,Comcast,,MAINTENANCE,2023-03-24 00:00:00,1,978-758-0239,ALLSTON/BRIGHTON,LINDEN ST,459
459,INSTALL LIGHT BASE,,04,EXCA-1443812,Days & Weekends,Maverick Construction,,,,510,,,2023-03-21 00:00:00,,Boston Public Works,,MAINTENANCE,2023-03-21 00:00:00,1,857-472-0105,ALLSTON/BRIGHTON,LINCOLN ST,460
460,,,04,EXCA-1446911,Days & Weekends,National Grid,,,,8,10,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,RICHARDSON ST,461
461,,,04,EXCA-1447121,Days & Weekends,Danella Line Co,,,,514,,,2023-03-31 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-31 00:00:00,1,800-446-8946,ALLSTON/BRIGHTON,CAMBRIDGE ST,462
462,Emergency - Cable Repair,,04,EMER-1395051,Days & Weekends,G Greene Construction,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Eversource Electric,,EMERGENCY,,1,1-800-592 20,ALLSTON/BRIGHTON,COMMONWEALTH AV,463
463,,,04,EXCA-1446844,Days & Weekends,National Grid,,,,45,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,ASHFORD ST,464
464,,,04,EXCA-1446907,Days & Weekends,National Grid,,,,103,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,HOOKER ST,465
465,INSTALLATION OF CONDUIT,,04,EXCA-1441647,Days & Weekends,Danella,80,,,103,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-16 00:00:00,1,800-446-8946,ALLSTON/BRIGHTON,HARVARD AV,466
466,Maintenance,,04,EXCA-1441980,Days & Weekends,Mirra Company Co.,,,,101,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-22 00:00:00,,Comcast,,,2023-03-22 00:00:00,1,,ALLSTON/BRIGHTON,LANARK ST,467
467,Emergency - Cable Replacement,,04,EMER-1395041,Days & Weekends,Eversource Electric,,,,1315,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-23 00:00:00,1,800-592-2000,ALLSTON/BRIGHTON,COMMONWEALTH AV,468
468,Grade 1 Gas Leak,,04,EMER-1365012,Days & Weekends,National Grid,,,,40,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,EMERGENCY,2023-02-27 00:00:00,1,1-877-304 12,ALLSTON/BRIGHTON,SOLDIER FIELD PL,469
469,GAS LEAK REPAIR,,04,EXCA-1441734,Days & Weekends,National Grid,,,,1650,,,2023-03-23 00:00:00,,National Grid,,MAINTENANCE,2023-03-23 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,COMMONWEALTH AV,470
470,,,04,EXCA-1439976,Days & Weekends,National Grid,,,,40,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-01 00:00:00,,National Grid,,MAINTENANCE,2023-03-01 00:00:00,,,ALLSTON/BRIGHTON,SOLDIERS FIELD PL,471
471,INSTALLATION OF CONDUIT,,04,EXCA-1438433,Weekends,Mirra Company Co.,95,,,170,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-03 00:00:00,,Comcast,,NEW CONDUIT AND/OR MAIN,2023-03-03 00:00:00,1,857-919 9355,ALLSTON/BRIGHTON,COREY RD,472
472,,,04,1436907,Days & Weekends,National Grid,,,,298,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,,,ALLSTON/BRIGHTON,LINCOLN ST,473
473,Grade 1 Gas Leak,,04,EMER-1364999,Days & Weekends,National Grid,,,,10,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-22 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,MEAD ST,474
474,,,04,EXCA-1436912,Days & Weekends,National Grid,,,,60,,,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,SUTHERLAND RD,475
475,,,02,EXCA-1446990,Days & Weekends,Danella Line Co,,,,3203,3213,,2023-03-31 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-31 00:00:00,1,800-446-8946,JAMAICA PLAIN,WASHINGTON ST,476
476,Casting Repair - Public Safety Concern,,04,EMER-1436392,Days & Weekends,Steven Companies,,,,,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,ALLSTON/BRIGHTON,LINCOLN ST,477
477,REPLACE FRAME AND COVERS ON STEAM MANHOLE,,04,EXCA-1435939,Days & Weekends,Bond Brothers,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-14 00:00:00,,Bond Brothers Inc.,,MAINTENANCE,2023-03-14 00:00:00,1,617-293-4851,ALLSTON/BRIGHTON,WESTERN AV,478
